Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,Device_C,C2 C4 C10 C11 C12 C13 C15 C17 C18 C19,100n,C_0603,10,~
2,,Device_C,C20,10u,C_0603,1,~
3,,Device_C,C1 C9,1u,C_0603,2,~
4,,Device_C,C3 C7 C8,2.2u,C_0603,3,~
5,,esynr3z_DiodeRectifier_CDBU0520,D1,CDBU0520,SOD-523F,1,lib_fp://www.comchiptech.com/cms/UserFiles/CDBU0520-RevA728099.pdf
6,,esynr3z_LED_CLMVC-FKC-CGJJM569aBB7a343,D2,CLMVC-FKC-CGJJM569aBB7a343,LED_Cree-PLCC4_2x2mm_CW,1,~
7,,Device_LED_ALT,D3,LED_GREEN,LED_0603,1,~
8,,Device_LED_ALT,D5,LED_ORANGE,LED_0603,1,~
9,,Device_LED_ALT,D4,LED_RED,LED_0603,1,~
10,,Connector_Generic_Conn_01x20,J2 J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,2,~
11,,Connector_Generic_Conn_02x04_Odd_Even,J1,Conn_02x04_Odd_Even,PinHeader_2x04_P2.54mm_Vertical,1,~
12,,Connector_USB_B_Micro,J4,USB_B_Micro,USB_Micro-B_Wurth_629105136821,1,~
13,,Device_R,R3,1.5k,R_0603,1,~
14,,Device_R,R1 R2 R4 R5 R6 R12,10k,R_0603,6,~
15,,Device_R,R10 R13,1k,R_0603,2,~
16,,Device_R,R11,2.2k,R_0603,1,~
17,,Device_R,R8 R9,22,R_0603,2,~
18,,Device_R,R14 R15,68,R_0603,2,~
19,,Device_R,R7,82,R_0603,1,~
20,,Switch_SW_Push,SW1 SW2,SW_Push,PTS830,2,
21,,esynr3z_MemoryFlash_W25Q80DVSNIG,U1,W25Q80DVSNIG,SOIC-8_3.9x4.9mm_P1.27mm,1,https://www.adestotech.com/wp-content/uploads/DS-AT25SF081_045.pdf
22,,esynr3z_FPGA_ICE40UP5K-SG48I,U3,ICE5LP4K-SG48,QFN-48-1EP_7x7mm_P0.5mm_EP5x5mm_ThermalVias,1,
23,,esynr3z_RegulatorLinear_MIC5355-S4YMME,U2,MIC5355-S4YMME,MSOP-8-1EP_3x3mm_P0.65mm_EP2.54x2.8mm_ThermalVias,1,lib_fp://ww1.microchip.com/downloads/en/DeviceDoc/mic5355_6.pdf
24,,esynr3z_Oscillator_ECS-2520MV-XXX,X1,ECS-2520MV-120-BN-TR,ECS-2520MV_4Pin_2.5x2.0mm,1,lib_fp://www.ecsxtal.com/store/pdf/ECS-2520MV.pdf
